Location_ID,Location_Name
07STC005879,Stossel Creek
07SNQ016051,SnoqualmieRiver-MidForkTrib(Lower)
07SFS011475,Snoqualmie River - S Fork tributary
07SFS011059,Snoqualmie River - S Fork tributary
07RAG022147,Raging River Tributary
07RGT016851,Unnamed tributary of Raging River
07RAG002867,Unnamed tributary of Raging River
07PAT001415,Mud Creek (Patterson Creek Subbasin)
07RAG018227,Deep Creek (Raging River basin)
08EVA3813,EVANS CREEK SUBBASIN 3813
08ISS4294,ISSAQUAH CREEK SUBBASIN 4294
08SAM3045,SAMMAMISH RIVER SUBBASIN 3045
09DEE2208,COAL CREEK (GREEN) SUBBASIN 2208
09BLA0722,BLACK RIVER SUBBASIN 0722
09MID1495,MIDDLE GREEN RIVER SUBBASIN 1495
08EVA3642,EVANS CREEK SUBBASIN 3642
08EVA3640,EVANS CREEK SUBBASIN 3640
08NOR1756,NORTH CREEK SUBBASIN 1756
09BLA0817,BLACK RIVER SUBBASIN 0817
08LIT2692,LITTLE BEAR CREEK SUBBASIN 2692
09BLA0772,BLACK RIVER SUBBASIN 0772
09MIL0340,MILL CREEK SUBBASIN 0340
09SOO1283,SOOS CREEK SUBBASIN 1283
09SOO1022,SOOS CREEK SUBBASIN 1022
09DUW0225,DUWAMISH RIVER SUBBASIN 0225
08BEA3571,BEAR CREEK SUBBASIN 3571
08EAS2540,COAL CREEK (CEDAR) SUBBASIN 2540
08NOR1370,SWAMP CREEK SUBBASIN 1370
09SOO1209,SOOS CREEK SUBBASIN 1209
08ISS4730,ISSAQUAH CREEK SUBBASIN 4730
08BEA3478,BEAR CREEK SUBBASIN 3478
09MID1704,MIDDLE GREEN RIVER SUBBASIN 1704
08NOR2306,NORTH CREEK SUBBASIN 2306
09BLA0768,BLACK RIVER SUBBASIN 0768
08LAK2827,W LAKE SAMMAMISH SUBBASIN 2827
09SOO1106,SOOS CREEK SUBBASIN 1106
08ISS4748,ISSAQUAH CREEK SUBBASIN 4748
09NEW2151,NEWAUKUM CREEK SUBBASIN 2151
09DEE2294,COAL CREEK (GREEN) SUBBASIN 2294
08EAS2272,KELSEY CREEK SUBBASIN 2272
08ISS4573,ISSAQUAH CREEK SUBBASIN 4573
