Sample ID,Visit ID,Site ID,WRIA Number,WRIA,Basin,Subbasin,Stream or River,Agency,Project,Site Code,Visit Date,Date Released,Latitude,Longitude,Lab Name,Sample Code,QC Replicate Of Sample Code,Collection Count,Positions In Stream,Surface Area,Surface Area Units,Taxa Effort,Deficiency Notes,QA/QC Result,Sampling Grid Squares Counted,Total Sampling Grid Squares,Taxon Serial Number,Taxon,Original Taxon Serial Number,Original Taxon,Quantity,Quantity Subsampling,Life Stage,Unique,Damaged,Immature,Outside Protocol,Wrong Gender
19050,13563,2385,,,,,Raging River,King County - DNRP,Ambient Monitoring,07RAG004615,8/13/2024,4/14/2025,47.547016,-121.90215,"Rhithron Associates, Inc.",07RAG004615_24,,8,Center of Riffle,8,ft2,Fine,,,5,30,68946,Nais,68946,Nais,17,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19116,13634,2220,,,,,Raging River,King County - DNRP,Ambient Monitoring,07RAG012515,9/5/2024,4/14/2025,47.46564,-121.86456,"Rhithron Associates, Inc.",07RAG012515_24,,8,Center of Riffle,8,ft2,Fine,,PASS,5,30,68510,Enchytraeidae,68510,Enchytraeidae,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
14757,9739,2388,,,,,Raging River,King County - DNRP,Ambient Monitoring,07RAG042787,9/12/2018,11/19/2018,47.479864,-121.87046,"Rhithron Associates, Inc.",07RAG042787_18,,8,Center of Riffle,8,ft2,Fine,,,5,30,-200,Chamaedrilus,-200,Chamaedrilus,3,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19076,13592,2386,,,,,Raging River,King County - DNRP,Ambient Monitoring,07RAG043443,8/20/2024,4/14/2025,47.497844,-121.905615,"Rhithron Associates, Inc.",07RAG043443_24,,8,Center of Riffle,8,ft2,Fine,,,5,30,68854,Naididae,68854,Naididae,2,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
13026,8181,2382,,,,,Raging River,King County - DNRP,Ambient Monitoring,07RAG054215,8/18/2015,4/22/2016,47.565877,-121.883567,"Rhithron Associates, Inc.",07RAG054215_15,,8,Center of Riffle,8,ft2,Fine,,,7,30,-138,Tubificinae,-138,Tubificinae,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19138,13654,2597,,,,,Tolt River,King County - DNRP,Ambient Monitoring,07LNT062039,9/11/2024,4/14/2025,47.722639,-121.739274,"Rhithron Associates, Inc.",07LNT062039_24,,8,Center of Riffle,8,ft2,Fine,,,3,30,68544,Mesenchytraeus,68544,Mesenchytraeus,16,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19136,13652,2596,,,,,Tolt River,King County - DNRP,Ambient Monitoring,07LNT075179,9/11/2024,4/14/2025,47.74339,-121.708721,"Rhithron Associates, Inc.",07LNT075179_24,,8,Center of Riffle,8,ft2,Fine,,,9,30,68552,Cognettia,68552,Cognettia,2,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19134,13650,2593,,,,,Tolt River,King County - DNRP,Ambient Monitoring,07LNT130827,9/11/2024,4/14/2025,47.744648,-121.705084,"Rhithron Associates, Inc.",07LNT130827_24,,8,Center of Riffle,8,ft2,Fine,,,2,30,68544,Mesenchytraeus,68544,Mesenchytraeus,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
14817,9802,2606,,,,,Tolt River,King County - DNRP,Ambient Monitoring,07LST069191,9/19/2018,11/19/2018,47.688545,-121.786779,"Rhithron Associates, Inc.",07LST069191_18,,8,Center of Riffle,8,ft2,Fine,,,30,30,-200,Chamaedrilus,-200,Chamaedrilus,9,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19140,13656,2379,,,,,Tolt River,King County - DNRP,Ambient Monitoring,07STL080295,9/12/2024,4/14/2025,47.63797,-121.914658,"Rhithron Associates, Inc.",07STL080295_24,,8,Center of Riffle,8,ft2,Fine,,,5,30,68534,Cernosvitoviella,68534,Cernosvitoviella,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
