"","Site.Name","Integrated.Site...Please.don.t.edit.","Navigate.to","Walking.Directions","Planning.Notes","Access.Notes","Project","Basin","Stream.River","Lat.Long","Lat","Long"
"1","07CHR045515","No","Download offline map. Use Cherry Creek Falls Trail. Drive through blue DNR gate labeled ""Road closed to motorized vehicles"" Drive on road till perpendicular to riffle coordinates, then bushwack down. Park in small pull off to the left. Takes around 20-30 min to arrive to stream, crossing ~4-5 vegetated roads.","","AKA Cherry_09 or CHR_09
","2024
Sampled 1 large riffle downstream (ds) of a large log spanning the creek.

2023
Sampled two riffles.
Lower flow compared to previous sampling pictures.
Bushwacked down to stream from parking spot.
Left some flagging, but ran out halfway.

2022
Sampled 2 riffles.
Potential washout removed last year's temp log & several large logs from 2021 photos.
Last transect (U/S) has uncertain BFW due to inaccessible bank & BFD with faint laser pointer.

2021
Sampled 3 riffles.
Top of reach has orange flagging.
Flow much lower than photos from 2020.
Received complaint about parking in turnout near blue gate - but Jenee clarified that we had permission to be on that road.

2020
Sampled 3 riffles - same area as last year.
Walked in water along the RB from entry point to get to bottom of reach.

2019
Trail hard to see from DNR road.
Added additional orange flagging at entry point on right side of road.
Trail overgrown.
Follow orange flagging to old decommissioned road and blue flagging to stream.
Flagging at large cedar on R/B marks entry to stream.
Sampled D/S of confluence and right at entry near cedar tree.
3 riffles.

2018
Follow map of road until you see orange flagging on the right side.
(The bridge means you drove too far).
Follow orange flagging down slope until you reach blue flagging at the old decommissioned road.
Continue following blue flagging until you reach below the confluence.
Access stream by large, flagged cedar on stream bank.
Sampled 4 riffles.

2017
Sampled 4 riffles.
We tried one of the trails illustrated on the map as described, but had to bushwhack most of the way down until a decommissioned road.
Eventually found the trail along Margaret Ck and walked D/S to confluence (big pool and LWD across), and then just D/S past to riffles.
On our way back, we tried continuing up the decommissioned road, which eventually led us to a trail (possibly crossing private property) back to the road we parked on.
Left orange flagging with some directions pointing to site.","Ambient - KC","Cherry Creek","Cherry Creek","47.74605, -121.89852","47.74605","-121.89852"
"2","07CHR070059","No","Cherry Creek Falls Trailhead. Use Key A383 to unlock gate. Drive 1.1 miles and take a left at a spur road and park in front of road block. Watch for hikers. From vehicle, follow abandoned road approximately 0.1 miles (over creek which in 2016 and 2020 was dry) until a trail on left side of road with large log laying next to trail (trailhead at approx 47.7540132, -121.8929179). May need to park before this if road is overgrown.","Follow trail on left to wooden �Cyclops� sign, turn Left. The trail will curve to the right and intersect with Margaret Creek. When approaching site, you will drop down hillside to the creek channel. If cannot drive, ~1+ mile hike each way from gate.","Susan Seaberg, engineer with DNR says Marckworth Road decommissioned in 2012, thinning planned for 2021; AKA CHR_14
Do on a weekday to avoid as many hikers as possible","2023: Drove to road block, hiked short distance to stream. Easy hike, no implements of destruction needed. 2020: Drove 2/3 of the way before road became impassable. Short, steep hill was slippery and washed out and tires were spinning. Parked in middle of road and walked rest of the way. Could not find trail described below when we were walking to site. Found trail on way out - took photos).

From junction of SR 203 and Woodinville-Duvall Rd in downtown Duvall, head north on SR 203 for about 500 feet, then turn right on NE Cherry Valley Rd. Follow for 4.3 miles, to DNR gate 1006 which will be on left just past Mountain View Rd. Use Key A383 to unlock gate. Drive 1.1 miles and take a left at a spur road and park in front of road block. Watch for hikers. From vehicle, follow abandoned road approximately 0.1 miles (over creek which in 2016 and 2020 was dry) until a trail on left side of road with large log laying next to trail (trailhead at approx 47.7540132, -121.8929179). Follow this trail to wooden �Cyclops� sign, turn Left. The trail will curve to the right and intersect with Margaret Creek. When approaching site, you will drop down hillside to the creek channel. If cannot drive, ~1+ mile hike each way from gate.","Ambient - KC","Cherry Creek","Margaret Creek","47.75381, -121.8941","47.75381","-121.8941"
"3","07CHR234411","Near 07CHR_bug1","Park at 47.7414861, -121.941153 at the end of dirt driveway past big barn with �Live Edge Wood Slabs� sign on front. ","Enter stream by path near parking area and walk U/S to riffles. Start at riffle near the ""Trail of Wonders."" The point falls on the eastern edge of her property � therefore sampling should be limited to ~200 m of stream immediately U/S of confluence (also on her property, see parcel map).","2021: Gate should be open; land has not yet been sold; Scott said it will likely go on market later this summer; 2020: Property will be sold soon, Scott Bevan already has buyers lined up, says they are on board with whatever sampling we need to do. Hopefully Kate has heard from new property owners by next year, but if not maybe try to call Scott Bevan? Seemed like he knows them.  2019: Tanya has to open a gate for you. She will need to meet you to open a gate.  If Tanya is not available for her property to be used, ask her neighbor Bengt Norum.
AKA CHR_33. ","From HWY 203 in Duvall, head N and turn slight right (east) on NE Cherry Valley Rd. Go about 2.5 miles to property: 29801 NE Cherry Valley Road (but don�t drive up this driveway, take the driveway just before this address on same side of road). Enter a metal gate with sign: �private road� on the front just after big barn with �Live Edge Wood Slabs� sign on front. Park at end of driveway (at edge of forest). The point falls on the eastern edge of her property � therefore sampling should be limited to ~200 m of stream immediately U/S of confluence (also on her property, see second map). To the east will be the trib to Cherry Creek and Cherry Creek itself. Enter Cherry Creek near trib and walk U/S to riffles. ","Ambient - KC","Cherry Creek","Cherry Creek","47.7417, -121.93982","47.7417","-121.93982"
"4","07GRN022903","No","From I-90 E take Exit 22. Take Preston-Fall City Rd. SE and WA-203 N to NE 11th St, turning into E Griffin Creek Rd NE. Go through locked �Gate 9� (need key), follow road past four roads on the left, site is about 100 ft before 2nd gate. Park on side of road.","Entered site on south side of road ~75m west of closed gate #2. Bushwhacked down through many cedars to riffle location of 47.61060, -121.86453.","Ecology Status&Trends site 1.8 mi DS. Use the Campbell Global $500 key to access Gate 9. 2017: Gate was open when we went because of logging - be careful of trucks! Low flow, sample earlier in season. AKA Griffin_03 or GRN_03","From I-90 E take Exit 22. Take Preston-Fall City Rd. SE and WA-203 N to NE 11th St, turning into E Griffin Creek Rd NE. Go through locked �Gate 9� (need key), follow road Past four roads on the left, site is about 100 ft before 2nd gate. Park on side of road in gravel pull out on far side of gate and walk down to stream through a thick patch of cedar trees - entrance is marked by orange flagging.  Stream does not cross rd. Be aware of the 2 tributaries U/S and D/S. When navigating to site from road, walk towards the large big leaf maple tree(in site photos).","Ambient - KC","Griffin Creek","Griffin Creek","47.610886, -121.864122","47.610886","-121.864122"
"5","07GRN077319","Original","","","2018: Ecology Status&Trends site 0.8 mi US. 
2017: Bob Ross recently purchased property adjacent to stream, use him as property access. He has a direct entrance into stream.
AKA GRN_08","2024: parked in same area as previous years, walked back down the road ~100m and then bushwhacked down, didnt see any flagging. 2023: Accessed from E Griffin Creek Rd (same as 2022). Parked in pull off on right side of road after ""Smile you're on camera sign"" (sign is on left side of road). Walked backwards .1mi on road (towards Griffin Creek Natural Area) and then bushwhacked to stream and flagged with orange. BOR is just US of a pool where a giant cedar fell (spans stream) near a sharp bend.
730 W Griffin Creek Rd NE 98014 (Bob Ross). 2020: Be mindful of trying to stay on Ross property. In past years, actual sampling location reach was not on the property-- property is narrow parcel extending east and west. 2019: Property is undeveloped, located between 32708 NE 8th St. Carnation, WA 98014 and 710 W Griffin Creek Rd NE 98014. If you see 710 address you have gone too far. Property is located on south side of stream, Google maps says it is on north side. Old directions: From Fall City, take 203 N to NE 11th St. Turn east on NE 11th St. When you cross the Snoqualmie Trail (&327th Ave NE), continue ~0.16 miles (850ft) and park on the side of the dirt road. Walk down steep hill on game trails down to creek.","Ambient - KC","Griffin Creek","Griffin Creek","47.615841, -121.900707","47.615841","-121.900707"
"6","07HAR025863","No","Navigate to 9301 Carnation-Duvall Rd NE, Carnation, WA 98014. Ask Stillwater Store owner where to park. 2022 parked in gravel lot just north of store.","Approached creek by facing towards gas station (from gravel parking lot) and walk/hack through wall of knotweed on RB for ~35m to BOR at curve of creek (aprox 47.682457, -121.920463). Couldn't find garden pump mentioned in previous years. (2023: garden pump is back!)","2020: Same as 2018 - significant knotweed, best to enter stream from right bank, on other side of stream from store/gas station; 2018: Heavy growth of knotweed all along stream banks. Looks bad, but easy to move through knotweed. Access easy at road. Prior to 2016: 07ESS025863. ","2025/2024: parked in gas station parking lot, 2023: Parked in gravel parking lot, let gas station owner know. 2022: OK to use store parking lot to park, but limit to 1 vehicle and check in with store clerk upon arrival.
Check in with the Stillwater Store clerk before sampling, owner Michael may be working. Michael asks that you check in with clerk and ask where to park. WA-203 to intersection of NE Stillwater Hill Road/Kelly Rd NE � site is NW of the Salon next to the Stillwater Store. Park across the creek. Do not park at the store. Park across the street, gravel area. He also owns the salon. His note on 6/25/19: Just let us know your vehicle ( if possible, one vehicle) and how long you will stay when you arrive.","Ambient - KC","Harris Creek","Snoqualmie River tributary (Harris Creek subbasin)","47.68279, -121.92049","47.68279","-121.92049"
"7","07HAR070087","No","47.652667, -121.962682 Park at pull out on North side of NE 52nd St. near intersection of Ames Lake-Carnation Rd NE. (RJG Checked 7/21/23)","Walk east on NE 52nd St. and enter creek on north side of 52nd St aprox 400ft from parking spot. Might be easiest to enter on RB (east) side of creek.","2018: STAFF EVAL ","2024:easier access from the RB, still lots of bushwacking
2022: possibly easier to access waterway from RB. 2020 note: there are two creeks in vicinity, this is the one which corresponds with the GPS coordinates. 

Head E on WA-202. Turn left onto NE Ames Lake Rd. Continue onto Ames Lake-Carnation Rd NE. Turn right onto NE 52nd St. Continue for 0.1 miles, creek is on the left. Park in pullout on 52nd. Walk past fire hydrant to find where the creek crosses the road; bushwhack slightly less dense path to the stream on left side. ","Ambient - KC","Harris Creek","Ames Creek","47.65292, -121.96087","47.65292","-121.96087"
"8","07LMS026663","No","Middle Fork Campground, but before you reach the trail head parking lot or the campground, pull over on NF-5600 at coordinates: 47.545850, -121.545800. This site is 3.9 miles further down the road than 07LMS033235. 0.25 miles past milepost 11, park in spots and see sign for Camp Brown Trail #1008 Day Use area","walk down trail ~130 m to main channel, then walk downstream ~50 meters. Sample site approximately 250 meters from NF-5600.","Sample on lowest flows possible, take a strong person to sample. Cannot cross stream more than half way! No cell service. ","Take exit 34 off of I-90 headed East (left off exit). Then take 468th Ave (don't turn R on 144th St. doesn't go through Middle Fork/Lk Dorothy Rd). Turn right (east) on SE Middle Fork Rd, follow this to where it joins SE Dorthy Rd. Turn left to stay on SE Middle Fork Rd. Head to Middle Fork Campground, but before you reach the trail head parking lot or the campground, pull over on NF-5600 at coordinates: 47.545850, -121.545800. This site is 3.9 miles further down the road than 07LMS033235. 0.25 miles past milepost 11, park in spots and see sign for Camp Brown Trail #1008 Day Use area. Then walk down trail ~130 m to main channel, then walk downstream ~50 meters. Sample site approximately 250 meters from NF-5600.","Ambient - KC","Lower Middle Fork Snoqualmie","Snoqualmie River - Middle Fork tributary (Lower)","47.544336, -121.543278","47.544336","-121.543278"
"9","07LMS033235","No","Navigate to Oxbow Trail Loop on Google Maps (If you route to Oxbow Trail Loop Main Parking with restrooms, you've gone past the site!). Coordinates: 47.51684, -121.61166. Park at paved pull out.","Walk across street, sample U/S of bend that runs parallel to the road.","Sample between log jam at road and the confluence U/S. Cell service might be bad. Contact DNR with sites pre-season.","Take exit 34 off of I-90 headed East (left off exit). Then take 468th Ave (don't turn R on 144th St. doesn't go through Middle Fork/Lk Dorothy Rd). Off of NF-5600 (or SE Lake Dorothy Rd). `50 meters from Bessemer Road or ~100 meters from NF-5600, turn-off around coordinates 47.516140, -121.612852. Park at paved pull-out with a sign for Oxbow Loop Trailhead *access* across the street from the stream (do not navigate to the47.51684, -121.61166 actual trailhead). Enter stream across from parking, as shown by the arrow on the map. Be sure to sample b/w log-jam at road and the confluence U/S","Ambient - KC","Lower Middle Fork Snoqualmie","Snoqualmie River - Middle Fork tributary (Lower)","47.51684, -121.61166","47.51684","-121.61166"
"10","07LMS055075","No","Navigate to 46510 SE Mount Si Rd, North Bend, Wa 98045 Driveway says: William's Home on Roaring Creek. Park at edge of driveway on gravel.","Walk around house (46510 SE Mount Si Road, diff than parking address) on garage side to the backyard. Follow worn footpath through grass to the stream.","","From North Bend, head SW on N Bend Blvd to E North Bend Way, left onto SE Mt Si Rd, continue onto 452nd Ave SE, Left onto 465th Ave SE: 46510 SE Mount Si Road White picket fence with sign for house number. Driveway says: William's Home on Roaring Creek. Park at edge of gravel in yard, walk around house (garage side) to the backyard. Follow worn footpath through grass to the stream.","Ambient - KC","Lower Middle Fork Snoqualmie","Snoqualmie River - Middle Fork tributary (Lower)","47.4883182, -121.7193656","47.4883182","-121.719565"
