Taxon Name,Taxonomic Serial Number (TSN),Parent Taxonomic Serial Number (TSN),Taxon Group,Taxon Level,AphiaID,NADED ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon Citations,Preferred Source,Former or Invalid Name,Common Name,Alternate Name,NODC Code,Xerces Code,Active
"Abarenicola","67501",""," Invertebrates","Genus","129205","","Animalia","Annelida","Polychaeta","","Arenicolidae","Abarenicola","","Wells, 1959","","","","","","","Y"
"Abarenicola pacifica","67503","67501"," Invertebrates","Species","326192","","Animalia","Annelida","Polychaeta","","Arenicolidae","Abarenicola","Abarenicola pacifica","Healy & Wells, 1959","","","",""," 5001620102","","Y"
"Abietinaria","49945",""," Invertebrates","Genus","117225","","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","","Schuchert, P. (2015). Abietinaria Kirchenpauer, 1884. In: Schuchert, P. (2016). World Hydrozoa database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=117225 on 2016-05-09","WORMS","","",""," 37040504","","Y"
"Ablabesmyia","128079","128078"," Invertebrates","Genus","987209","","Animalia","Arthropoda","Insecta","Diptera","Chironomidae","Ablabesmyia","","Johannsen, 1905","ITIS","","","","","","Y"
"Acanthodoris","78358",""," Invertebrates","Genus","138284","","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris","","Bouchet, P.; Gofas, S. (2016). Acanthodoris. In:  MolluscaBase (2016). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=138284 on 2016-05-09","WORMS","","",""," 51310501","","Y"
"Acanthodoris brunnea","78360",""," Invertebrates","Species","581687","","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris","brunnea","Rosenberg, G. (2015). Acanthodoris brunnea MacFarland, 1905. In:  MolluscaBase (2015). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=581687 on 2016-12-28","WoRMS",""," Brown Dorid","","","","Y"
"Acanthoptilum","52401",""," Invertebrates","Genus","267189","","Animalia","Cnidaria","Anthozoa","Pennatulacea","Virgulariidae","Acanthoptilum","","van Ofwegen, L. (2015). Acanthoptilum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=267189 on 2016-05-09","WORMS","","","","","","Y"
"Acanthoptilum gracile","52403",""," Invertebrates","Species","289324","","Animalia","Cnidaria","Anthozoa","Pennatulacea","Virgulariidae","Acanthoptilum","gracile","van Ofwegen, L. (2015). Acanthoptilum gracile (Gabb, 1863). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=289324 on 2016-05-09","WORMS","","",""," 3754010302","","Y"
"Acanthozoon lepidum","",""," Invertebrates","Species","483922","","Animalia","Platyhelminthes","Rhabditophora","Polycladida","Pseudocerotidae","Acanthozoon","lepidum","Tyler, S. (2015). Acanthozoon lepidum (Heath & McGregor, 1912). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=483922 on 2016-05-09","WORMS","","","","","","Y"
"Acari","733321",""," Invertebrates","Subclass","","","","","","","","","","","","","","","","","Y"
"Acartia","86084",""," Invertebrates","Genus","104108","","Animalia","Arthropoda","Not assigned","Calanoida","Acartiidae","Acartia","","Walter, T. Chad; Boxshall, G. (2015). Acartia Dana, 1846. In: Walter, T.C. & Boxshall, G. (2016). World of Copepods database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=104108 on 2016-05-09","WORMS","","","","","","Y"
"Acartia (Acartiura) longiremis","",""," Invertebrates","Species","346037","","Animalia","Arthropoda","Not assigned","Calanoida","Acartiidae","Acartia","longiremis","WoRMS (2008). Acartia (Acartiura) longiremis (Lilljeborg, 1853). In: Walter, T.C. & Boxshall, G. (2016). World of Copepods database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=346037 on 2016-05-09","WORMS","","","","","","Y"
"Accedomoera vagor","93683",""," Invertebrates","Species","550289","","Animalia","Arthropoda","Malacostraca","Amphipoda","Pontogeneiidae","Accedomoera","vagor","Lowry, J. (2015). Accedomoera vagor J.L. Barnard, 1969. In: Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C. O.; Daneliya, M.; Dauvin, J-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J. M.; Hendrycks, E.; Holsinger, J.; Hughes, L.; Jazdzewski, K.; Just, J.; Kamaltynov, R. M.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Senna, A. R.; Serejo, C.; Sket, B.; Thomas, J.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. World Amphipoda Database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=550289 on 2016-05-09","WORMS","","","","","","Y"
"Acentrella","100801","100755"," Invertebrates","Genus","","","","","","","","","","","","","","",""," G0075","Y"
"Acentrella insignificans","568572","100801"," Invertebrates","Species","","","","","","","","","","","","","","",""," S0006","Y"
"Acentrella turbida","568574","100801"," Invertebrates","Species","","","","","","","","","","","","","","",""," S0007","Y"
