"","Study_ID","Location_ID","Study_Specific_Location_ID","Field_Collection_Type","Field_Collector","Field_Collection_Start_Date","Field_Collection_Start_Time","Field_Collection_End_Date","Field_Collection_End_Time","Field_Collection_Comment","Field_Collection_Area","Field_Collection_Area_Units","Field_Collection_Reference_Point","Field_Collection_Upper_Depth","Field_Collection_Lower_Depth","Field_Collection_Depth_Units","Well_Water_Level_Measuring_Point_or_TOC_ID","Sample_ID","Sample_Field_Replicate_ID","Sample_Replicate_Flag","Sample_Sub_ID","Sample_Composite_Flag","Storm_Event_Qualifier","Sample_Matrix","Sample_Source","Sample_Use","Sample_Collection_Method","Sample_Preparation_Method","Sample_Method_Other","Sample_Taxon_Name","Sample_Taxon_TSN","Sample_Tissue_Type","Sample_Percent_Sorted","Result_Parameter_Name","Result_Parameter_CAS_Number","Lab_Analysis_Date","Lab_Analysis_Date_Accuracy","Lab_Analysis_Time","Result_Value","Result_Value_Units","Result_Reporting_Limit","Result_Reporting_Limit_Type","Result_Detection_Limit","Result_Detection_Limit_Type","Result_Data_Qualifier","Fraction_Analyzed","Field_Filtered_Flag","Result_Basis","Digestion_Method","Water_Level_Accuracy","Result_Method","Result_Comment","Result_Additional_Comment","Result_Lab_Replicate_ID","Result_Lab_Name","Result_Validation_Level","Result_Taxon_Name","Result_Taxon_TSN","Result_Taxon_Unidentified_Species","Result_Taxon_Life_Stage","QC_Blank_Type","QC_Blank_Censor_Factor","Lab_Batch_ID","Lab_GC_Column_ID"
"1","Ambient Monitoring","07RAG004615","07RAG004615","Sample","GovLocal","7/28/2016",NA,NA,NA,"recent changes: huge cottonwood fell a couple months ago across u/s portion of reach (LWD). Harold concerned about gravel operation blasting and compromising bank stability.",8,"ft2",NA,NA,NA,NA,NA,"07RAG004615_16",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,33.33,"Number of Individual Organisms",NA,42735,"U",NA,11,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07RAG004615_16",NA,"Rhithron Associates Inc, Missoula MT",NA,"Baetis",100800,NA,"Larva",NA,NA,NA,NA
"2","Ambient Monitoring","07RAG004615","07RAG004615","Sample","GovLocal","7/28/2016",NA,NA,NA,"recent changes: huge cottonwood fell a couple months ago across u/s portion of reach (LWD). Harold concerned about gravel operation blasting and compromising bank stability.",8,"ft2",NA,NA,NA,NA,NA,"07RAG004615_16",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,33.33,"Number of Individual Organisms",NA,42735,"U",NA,40,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07RAG004615_16",NA,"Rhithron Associates Inc, Missoula MT",NA,"Baetis",100800,NA,"Larva",NA,NA,NA,NA
"3","Ambient Monitoring","07RAG042787","07RAG042787","Sample","GovLocal","9/12/2018",NA,NA,NA,"Sample 07RAG042787_18_R is a QC replicate of 07RAG042787_18.",8,"ft2",NA,NA,NA,NA,NA,"07RAG042787_18_R",NA,"Y",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,23.33,"Number of Individual Organisms",NA,43465,"U",NA,16,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07RAG042787_18_R",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"4","Ambient Monitoring","07RAG042787","07RAG042787","Sample","GovLocal","9/12/2018",NA,NA,NA,"Sample 07RAG042787_18_R is a QC replicate of 07RAG042787_18.",8,"ft2",NA,NA,NA,NA,NA,"07RAG042787_18_R",NA,"Y",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,23.33,"Number of Individual Organisms",NA,43465,"U",NA,1,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07RAG042787_18_R",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"5","Ambient Monitoring","07RAG043443","07RAG043443","Sample","GovLocal","8/20/2024",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07RAG043443_24",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,16.67,"Number of Individual Organisms",NA,45657,"U",NA,1,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07RAG043443_24",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"6","Ambient Monitoring","07RAG043443","07RAG043443","Sample","GovLocal","8/20/2024",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07RAG043443_24",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,16.67,"Number of Individual Organisms",NA,45657,"U",NA,3,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07RAG043443_24",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"7","Ambient Monitoring","07RAG043443","07RAG043443","Sample","GovLocal","8/8/2018",NA,NA,NA,"Found a tiny hole in the net. Sample 07RAG043443_18_R is a QC replicate of 07RAG043443_18.",8,"ft2",NA,NA,NA,NA,NA,"07RAG043443_18_R",NA,"Y",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,23.33,"Number of Individual Organisms",NA,43465,"U",NA,1,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07RAG043443_18_R",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"8","Ambient Monitoring","07RAG043443","07RAG043443","Sample","GovLocal","8/8/2018",NA,NA,NA,"Found a tiny hole in the net. Sample 07RAG043443_18_R is a QC replicate of 07RAG043443_18.",8,"ft2",NA,NA,NA,NA,NA,"07RAG043443_18_R",NA,"Y",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,23.33,"Number of Individual Organisms",NA,43465,"U",NA,3,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07RAG043443_18_R",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"9","Ambient Monitoring","07STL080295","07STL080295","Sample","GovLocal","9/12/2024",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07STL080295_24",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,16.67,"Number of Individual Organisms",NA,45657,"U",NA,17,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07STL080295_24",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
"10","Ambient Monitoring","07STL080295","07STL080295","Sample","GovLocal","9/12/2024",NA,NA,NA,"",8,"ft2",NA,NA,NA,NA,NA,"07STL080295_24",NA,"N",NA,"Y",NA,"Solid/Sediment","Freshwater Taxonomy",NA,"SURBER",NA,NA,NA,NA,NA,16.67,"Number of Individual Organisms",NA,45657,"U",NA,2,"Count",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID-COUNT-LEVEL2","","07STL080295_24",NA,"Rhithron Associates Inc, Missoula MT",NA,"Orthocladiinae",128457,NA,"Larva",NA,NA,NA,NA
